"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"14-Dec-2022","EQ","808.40","817.00","807.35","807.60","813.10","815.45","812.60","861.15","650.20","971,275","789,253,255.55","30,384"
"13-Dec-2022","EQ","812.00","814.45","804.70","810.05","806.80","807.60","810.09","861.15","650.20","1,224,742","992,157,231.80","36,060"
"12-Dec-2022","EQ","803.00","813.00","799.20","803.30","811.15","810.05","807.11","861.15","650.20","948,219","765,318,959.95","36,433"
"09-Dec-2022","EQ","804.20","809.90","801.00","804.20","802.00","803.30","805.93","861.15","650.20","1,080,966","871,185,473.70","33,000"
"08-Dec-2022","EQ","800.55","807.95","796.50","799.35","803.20","804.20","804.03","861.15","650.20","805,216","647,414,366.35","26,232"
"07-Dec-2022","EQ","799.90","806.50","797.05","797.65","799.00","799.35","801.39","861.15","650.20","2,020,441","1,619,166,079.60","38,629"
"06-Dec-2022","EQ","800.00","800.00","793.55","800.50","798.95","797.65","796.69","861.15","650.20","826,214","658,238,972.60","22,794"
"05-Dec-2022","EQ","795.55","803.00","788.60","795.55","799.00","800.50","796.84","861.15","650.20","1,540,201","1,227,298,316.65","36,748"
"02-Dec-2022","EQ","810.00","812.50","792.20","813.20","795.05","795.55","799.11","861.15","650.20","2,882,169","2,303,182,417.00","47,166"
"01-Dec-2022","EQ","821.90","821.90","810.15","818.05","811.05","813.20","813.90","861.15","650.20","966,282","786,455,913.95","29,759"
"30-Nov-2022","EQ","805.05","821.95","804.25","805.05","816.00","818.05","815.49","861.15","650.20","3,390,682","2,765,072,327.75","49,628"
"29-Nov-2022","EQ","804.95","811.90","803.05","804.30","804.80","805.05","807.50","861.15","650.20","1,278,339","1,032,259,772.30","38,851"
"28-Nov-2022","EQ","789.00","808.90","785.00","789.15","804.00","804.30","798.96","861.15","650.20","2,043,706","1,632,842,936.40","45,194"
"25-Nov-2022","EQ","798.75","799.50","780.00","792.75","788.40","789.15","788.39","861.15","650.20","2,385,612","1,880,804,103.10","46,263"
"24-Nov-2022","EQ","787.85","795.00","781.25","770.15","793.20","792.75","789.21","861.15","650.20","6,211,909","4,902,474,362.90","94,677"
